pipeline_used,f1,baseline_f1,lift_f1,run_id
embedding_pca,0.7237715803452854,0.0,0.7237715803452854,20260728_130859
embedding_jl,0.6742301458670988,0.0,0.6742301458670988,20260802_000241
no_denoise,0.6647578143641136,0.0,0.6647578143641136,20260801_235714
svm,0.6633020908435472,0.0,0.6633020908435472,20260728_122502
fast,0.6578947368421052,0.0,0.6578947368421052,20260801_234243
hq,0.6447081617825139,0.0,0.6447081617825139,20260801_235205
svm_jl,0.6441388953623863,0.0,0.6441388953623863,20260801_233705
