pipeline_used,f1,baseline_f1,lift_f1,run_id
embedding_pca,0.7741383001498607,0.0,0.7741383001498607,20260728_131015
embedding_jl,0.7108280254777071,0.0,0.7108280254777071,20260802_000120
fast,0.6826135105204874,0.0,0.6826135105204874,20260801_234116
hq,0.6810763123070136,0.0,0.6810763123070136,20260801_235041
no_denoise,0.6807282415630551,0.0,0.6807282415630551,20260801_235554
svm,0.6784140969162995,0.0,0.6784140969162995,20260728_122609
svm_jl,0.6619343389529726,0.0,0.6619343389529726,20260801_233549
