pipeline_used,f1,baseline_f1,lift_f1,run_id
embedding_pca,0.7977862920391656,0.0,0.7977862920391656,20260728_130830
hq,0.7236899090515375,0.0,0.7236899090515375,20260801_235301
no_denoise,0.7127131448305632,0.0,0.7127131448305632,20260801_235802
fast,0.7122224617374435,0.0,0.7122224617374435,20260801_234332
embedding_jl,0.7106753812636165,0.0,0.7106753812636165,20260802_000324
svm,0.7098156879554223,0.0,0.7098156879554223,20260728_122541
svm_jl,0.6822043127858854,0.0,0.6822043127858854,20260801_233756
