pipeline_used,f1,baseline_f1,lift_f1,run_id
embedding_pca,0.6470588235294117,0.0,0.6470588235294117,20260728_131035
svm,0.618095930232558,0.0,0.618095930232558,20260722_131023
fast,0.6010456102397692,0.0,0.6010456102397692,20260801_234131
hq,0.5983981693363845,0.0,0.5983981693363845,20260801_235054
no_denoise,0.5916202121920519,0.0,0.5916202121920519,20260801_235609
embedding_jl,0.5888689407540395,0.0,0.5888689407540395,20260802_000134
svm_jl,0.5477497255762898,0.0,0.5477497255762898,20260801_233603
