model_name,f1,baseline_f1,lift_f1,run_id
svm,0.713813615333774,0.0,0.713813615333774,20260722_131234
mlp,0.6822043127858854,0.0,0.6822043127858854,20260801_233756
hgb,0.6689053055742108,0.0,0.6689053055742108,20260801_233730
logreg,0.6644474034620506,0.0,0.6644474034620506,20260801_233621
hard_svm,0.6619343389529726,0.0,0.6619343389529726,20260801_233549
ridge,0.6598984771573604,0.0,0.6598984771573604,20260801_233634
linreg,0.6598984771573604,0.0,0.6598984771573604,20260801_233648
rf,0.6441388953623863,0.0,0.6441388953623863,20260801_233705
hard_svm_kernel,0.5477497255762898,0.0,0.5477497255762898,20260801_233603
