pipeline_used,f1,baseline_f1,lift_f1,run_id
embedding_pca,0.8177339901477833,0.0,0.8177339901477833,20260728_122943
embedding_jl,0.7470885519666007,0.0,0.7470885519666007,20260728_123100
hq,0.7468660655377171,0.0,0.7468660655377171,20260801_234410
no_denoise,0.7275132275132276,0.0,0.7275132275132276,20260801_235338
svm,0.7252650176678446,0.0,0.7252650176678446,20260722_131056
fast,0.7222467934542237,0.0,0.7222467934542237,20260801_233849
svm_jl,0.713813615333774,0.0,0.713813615333774,20260722_131234
