pipeline_used,f1,baseline_f1,lift_f1,run_id
embedding_pca,0.8177339901477833,0.0,0.8177339901477833,20260728_122943
embedding_jl,0.7470885519666007,0.0,0.7470885519666007,20260728_123100
svm,0.7252650176678446,0.0,0.7252650176678446,20260728_122240
svm_jl,0.713813615333774,0.0,0.713813615333774,20260728_122818
