model_name,f1,baseline_f1,lift_f1,run_id
svm,0.7468660655377171,0.0,0.7468660655377171,20260801_234410
mlp,0.7236899090515375,0.0,0.7236899090515375,20260801_235301
hgb,0.7052841034711474,0.0,0.7052841034711474,20260801_235229
ridge,0.6869086908690868,0.0,0.6869086908690868,20260801_235132
linreg,0.6869086908690868,0.0,0.6869086908690868,20260801_235146
logreg,0.6813283483615571,0.0,0.6813283483615571,20260801_235118
hard_svm,0.6810763123070136,0.0,0.6810763123070136,20260801_235041
rf,0.6447081617825139,0.0,0.6447081617825139,20260801_235205
hard_svm_kernel,0.5983981693363845,0.0,0.5983981693363845,20260801_235054
