pipeline_used,pr_auc,baseline_pr_auc,lift_pr_auc,run_id
embedding_pca,0.8495861037366118,0.4548,0.3947861037366118,20260728_130753
no_denoise,0.778794106281687,0.4548,0.323994106281687,20260801_235737
fast,0.7764111825576411,0.4548,0.3216111825576411,20260801_234306
svm,0.7756186508395758,0.4548,0.32081865083957584,20260728_122521
hq,0.7754606685255592,0.4548,0.3206606685255592,20260801_235229
embedding_jl,0.774857445957044,0.4548,0.320057445957044,20260802_000302
svm_jl,0.7261279198229824,0.4548,0.27132791982298243,20260801_233730
