model_name,f1,baseline_f1,lift_f1,run_id
svm,0.7252650176678446,0.0,0.7252650176678446,20260722_131056
mlp,0.7098156879554223,0.0,0.7098156879554223,20260728_122541
hgb,0.694086260560249,0.0,0.694086260560249,20260728_122521
logreg,0.6801940891045435,0.0,0.6801940891045435,20260728_122424
hard_svm,0.6784140969162995,0.0,0.6784140969162995,20260728_122609
ridge,0.6776460254721125,0.0,0.6776460254721125,20260728_122436
linreg,0.6776460254721125,0.0,0.6776460254721125,20260728_122448
rf,0.6633020908435472,0.0,0.6633020908435472,20260728_122502
hard_svm_kernel,0.618095930232558,0.0,0.618095930232558,20260722_131023
